epoch,phase,loss,time_seconds,avg_accuracy,glioma_accuracy,meningioma_accuracy,no_tumor_accuracy,pituitary_accuracy,avg_precision,glioma_precision,meningioma_precision,no_tumor_precision,pituitary_precision,avg_recall,glioma_recall,meningioma_recall,no_tumor_recall,pituitary_recall,avg_f1,glioma_f1,meningioma_f1,no_tumor_f1,pituitary_f1,avg_auc,glioma_auc,meningioma_auc,no_tumor_auc,pituitary_auc
1,train,0.8289735289414724,7.126043081283569,0.9032291666666666,0.9160416666666666,0.849375,0.936875,0.910625,0.8081037171323958,0.8664627930682977,0.772093023255814,0.7873263888888888,0.8065326633165829,0.8114769272787546,0.7575757575757576,0.6345565749235474,0.9398963730569948,0.9138790035587189,0.8046749275326592,0.8083689966714218,0.6966009232060428,0.8568729333963155,0.8568568568568569,0.9463986343291306,0.9476572897189921,0.8960632165789171,0.9786369071343164,0.9632371238842972
2,train,0.2580707455674807,3.7269129753112793,0.9674999999999999,0.9670833333333333,0.9379166666666666,0.9879166666666667,0.9770833333333333,0.9368750413039175,0.9454209065679926,0.8838268792710706,0.9632277834525026,0.955024595924104,0.9363440680758869,0.911685994647636,0.8892284186401833,0.9772020725388602,0.9672597864768683,0.9365085828867256,0.9282470481380564,0.8865194211728865,0.970164609053498,0.9611032531824611,0.9906116454464223,0.9926634739349283,0.9782391433696469,0.9980863467787153,0.9934576177023988
3,train,0.13849294394254685,3.7537009716033936,0.9815625,0.979375,0.9666666666666667,0.9939583333333334,0.98625,0.9645952165625685,0.9611562782294489,0.9341906202723147,0.9885297184567258,0.9745042492917847,0.963554733868382,0.95,0.9441896024464832,0.9813664596273292,0.9786628733997155,0.9640558185452601,0.9555455770094298,0.9391634980988594,0.9849350649350649,0.9765791341376863,0.9962018985004407,0.9956014654503106,0.9927133579242725,0.9991880969121223,0.9973046737150573
4,train,0.08113980986177921,3.7902092933654785,0.9905208333333333,0.98875,0.9822916666666667,0.9977083333333333,0.9933333333333333,0.9817022271537592,0.9758928571428571,0.9636638909916729,0.9958419958419958,0.9914101646385111,0.9815399552196236,0.9758928571428571,0.9717557251908397,0.9927461139896373,0.9857651245551602,0.9816142451583241,0.9758928571428571,0.9676928924363359,0.99429164504411,0.9885795860099929,0.998664899260677,0.9987458753881988,0.9973940812353725,0.9998678655146558,0.9986517749044805
5,train,0.05611545525491238,3.7692675590515137,0.9926041666666667,0.9925,0.9875,0.9989583333333333,0.9914583333333333,0.9860311005712092,0.9865350089766607,0.975609756097561,0.9968944099378882,0.9850852272727273,0.9858890230577093,0.98125,0.9785932721712538,0.9979274611398964,0.9857853589196873,0.985957620192214,0.9838854073410922,0.9770992366412213,0.9974106680476437,0.9854351687388988,0.9991369246902699,0.9993995050465838,0.9980991939636601,0.9999710871371537,0.9990779126136821
6,train,0.042697842518488564,3.6422810554504395,0.9941666666666666,0.99375,0.9895833333333334,0.9983333333333333,0.995,0.9888517306864386,0.9883720930232558,0.9786910197869102,0.9968847352024922,0.9914590747330961,0.9885766601414696,0.9848484848484849,0.9831804281345565,0.9948186528497409,0.9914590747330961,0.988711856833697,0.9866071428571429,0.9809305873379099,0.995850622406639,0.9914590747330961,0.9992569043841545,0.9991036456106986,0.9985383804309369,0.99997595098324,0.9994096405117427
7,train,0.030086626913398504,3.6366524696350098,0.9972916666666667,0.996875,0.995625,0.99875,0.9979166666666667,0.9945797662219686,0.9937444146559428,0.9908466819221968,0.9958677685950413,0.9978601997146933,0.994731838166012,0.9928571428571429,0.9931192660550459,0.9979296066252588,0.9950213371266002,0.9946546552397402,0.9933005806163466,0.9919816723940436,0.9968976215098242,0.9964387464387464,0.9998277992851754,0.9997328707298136,0.9996582402415657,0.9999940599042456,0.9999260262650767
8,train,0.0225578340018789,3.628753423690796,0.9970833333333333,0.9966666666666667,0.99625,0.9979166666666667,0.9975,0.9941894187399023,0.9955156950672646,0.9931245225362872,0.9937952430196484,0.9943222143364088,0.9940799506164346,0.9901873327386262,0.9931245225362872,0.9958549222797928,0.9971530249110321,0.9941321279281822,0.9928443649373881,0.9931245225362872,0.994824016563147,0.9957356076759062,0.9992789619871478,0.998532549302779,0.9989970936943825,0.9998365207287663,0.9997496842226636
9,train,0.0402275335850815,3.625969648361206,0.9959374999999999,0.9952083333333334,0.995,0.998125,0.9954166666666666,0.9921277273721224,0.991047448522829,0.9908326967150497,0.995850622406639,0.9907801418439717,0.9919107671818905,0.9883928571428572,0.9908326967150497,0.9948186528497409,0.9935988620199147,0.9920182349189401,0.989718372820742,0.9908326967150497,0.995334370139969,0.9921875,0.9996066354558406,0.9991954580745341,0.9997030451981839,0.9999867595300984,0.9995412790205458
10,train,0.03208939122967422,3.6353907585144043,0.9958333333333333,0.9952083333333334,0.9927083333333333,0.9983333333333333,0.9970833333333333,0.9918900813090299,0.9901697944593387,0.984779299847793,0.9968847352024922,0.9957264957264957,0.9917388344006313,0.9892857142857143,0.988540870893812,0.9948186528497409,0.9943100995732574,0.9918131182841579,0.9897275569450648,0.9866565001906215,0.995850622406639,0.9950177935943061,0.9996173381279427,0.9997993497670807,0.9993594792152428,0.9999886510257986,0.9993218725036485
1,val,0.3532030194997787,0.4348733425140381,0.9398437500000001,0.9390625,0.88125,0.98125,0.9578125,0.883705398211924,0.9554140127388535,0.7701863354037267,0.9354838709677419,0.8737373737373737,0.8850375289332344,0.8241758241758241,0.7607361963190185,0.9666666666666667,0.9885714285714285,0.882205366031934,0.8849557522123894,0.7654320987654321,0.9508196721311475,0.9276139410187667,0.982682668224758,0.9910624310187629,0.9475119291070212,0.9985096153846154,0.9936466973886329
2,val,0.14666147343814373,0.33339524269104004,0.9773437500000001,0.9734375,0.9546875,0.9984375,0.9828125,0.9572551018424225,0.9459459459459459,0.9407894736842105,0.9917355371900827,0.9505494505494505,0.9568526259017056,0.9615384615384616,0.8773006134969326,1.0,0.9885714285714285,0.9566633198819041,0.9536784741144414,0.9079365079365079,0.995850622406639,0.969187675070028,0.997168967867173,0.997840587360238,0.9926946277218299,0.9999839743589742,0.9981566820276497
3,val,0.12521861903369427,0.3325784206390381,0.97890625,0.975,0.959375,0.9890625,0.9921875,0.9586703910614525,1.0,0.88268156424581,0.952,1.0,0.9611270758893459,0.9120879120879121,0.9693251533742331,0.9916666666666667,0.9714285714285714,0.9587338536245661,0.9540229885057471,0.9239766081871345,0.9714285714285714,0.9855072463768116,0.9970263869288347,0.995849129036902,0.9930161669946368,0.9999038461538461,0.9993364055299538
4,val,0.1097231819294393,0.2795450687408447,0.984375,0.9828125,0.9703125,0.9921875,0.9921875,0.967727284598193,0.9942196531791907,0.9337349397590361,0.96,0.9829545454545454,0.9711366547562866,0.945054945054945,0.950920245398773,1.0,0.9885714285714285,0.9691525367795756,0.9690140845070423,0.9422492401215805,0.9795918367346939,0.9857549857549858,0.9977779942487555,0.9982844666250781,0.9935306298311276,0.9999358974358974,0.9993609831029187
5,val,0.08357528429478407,0.29462528228759766,0.98984375,0.9875,0.9828125,0.9953125,0.99375,0.9808609333250482,0.9578947368421052,0.9935064935064936,0.9834710743801653,0.9885714285714285,0.9797221004966403,1.0,0.9386503067484663,0.9916666666666667,0.9885714285714285,0.9799794009974616,0.978494623655914,0.9652996845425867,0.9875518672199171,0.9885714285714285,0.9990820373345879,0.9998560391573492,0.9969775308356164,0.9998878205128207,0.9996067588325653
6,val,0.13910237119998783,0.28813958168029785,0.98359375,0.9890625,0.96875,0.9921875,0.984375,0.9679668790528002,0.9629629629629629,0.993103448275862,0.96,0.9558011049723757,0.9680017528483786,1.0,0.8834355828220859,1.0,0.9885714285714285,0.9669247399077194,0.9811320754716981,0.935064935064935,0.9795918367346939,0.9719101123595506,0.9983646691750468,0.9993521762080714,0.9968746382683181,0.999775641025641,0.9974562211981567
7,val,0.11682182506192476,0.31761765480041504,0.9898437499999999,0.9890625,0.98125,0.9921875,0.996875,0.9779565452051674,0.9943502824858758,0.9631901840490797,0.96,0.9942857142857143,0.9811272163419402,0.967032967032967,0.9631901840490797,1.0,0.9942857142857143,0.979392281956787,0.9805013927576601,0.9631901840490797,0.9795918367346939,0.9942857142857143,0.9982426284261194,0.9990282643121072,0.9953826960424946,0.9999358974358975,0.9986236559139784
8,val,0.07549068824155256,0.30478811264038086,0.9898437499999999,0.990625,0.98125,0.9953125,0.9921875,0.9792173755424219,0.9888888888888889,0.9748427672955975,0.975609756097561,0.9775280898876404,0.9808069844266163,0.978021978021978,0.950920245398773,1.0,0.9942857142857143,0.9799120871644863,0.9834254143646409,0.9627329192546584,0.9876543209876543,0.9858356940509915,0.9992099519730128,0.9994601468400595,0.9979807333667734,0.999951923076923,0.9994470046082949
