epoch,phase,loss,time_seconds,avg_accuracy,glioma_accuracy,meningioma_accuracy,no_tumor_accuracy,pituitary_accuracy,avg_precision,glioma_precision,meningioma_precision,no_tumor_precision,pituitary_precision,avg_recall,glioma_recall,meningioma_recall,no_tumor_recall,pituitary_recall,avg_f1,glioma_f1,meningioma_f1,no_tumor_f1,pituitary_f1,avg_auc,glioma_auc,meningioma_auc,no_tumor_auc,pituitary_auc
1,train,0.7795426738262177,4.104602336883545,0.8779166666666667,0.9010416666666666,0.8085416666666667,0.926875,0.8752083333333334,0.7583572953446367,0.798887859128823,0.7346938775510204,0.769298245614035,0.7305491990846682,0.7636308792426016,0.7696428571428572,0.467175572519084,0.9088082901554404,0.908896797153025,0.7496077510879676,0.7839927239654388,0.5711619225384974,0.8332541567695962,0.8100222010783381,0.9278131879304455,0.9338130822981366,0.8661711760974649,0.9724625247414392,0.9388059685847411
2,train,0.28001644243796664,2.1964149475097656,0.953125,0.951875,0.91125,0.9810416666666667,0.9683333333333334,0.9100627207200496,0.9329446064139941,0.8315789473684211,0.9486652977412731,0.9270620313565099,0.906666301528623,0.8556149732620321,0.845565749235474,0.9575129533678757,0.9679715302491103,0.9078164790023309,0.8926080892608089,0.8385140257771039,0.9530685920577617,0.947075208913649,0.9844448962865676,0.9858793287446969,0.9625218060678667,0.9970225155541744,0.9923559347795323
3,train,0.18219268063704172,2.3495724201202393,0.9680208333333333,0.9635416666666666,0.9416666666666667,0.9925,0.974375,0.9392803944084086,0.9444967074317968,0.8837555886736215,0.9793601651186791,0.9495091164095372,0.9372232099034457,0.8964285714285715,0.9053435114503817,0.983419689119171,0.9637010676156583,0.9380481448831207,0.9198350893266147,0.8944193061840121,0.9813857290589452,0.9565524549629106,0.9931590421141465,0.9926892468944098,0.9848010673899255,0.9992506974890394,0.995895156683211
4,train,0.1240296611438195,2.1640448570251465,0.9764583333333334,0.9735416666666666,0.956875,0.993125,0.9822916666666667,0.9550421564109582,0.9559633027522936,0.9123595505617977,0.9844236760124611,0.9674220963172805,0.9535820802276209,0.9295272078501338,0.9311926605504587,0.9813664596273292,0.9722419928825623,0.9542396458574771,0.9425599276345545,0.9216799091940976,0.9828926905132193,0.969826056088037,0.9958978826581244,0.9957314933784075,0.9903812471319329,0.9996360341328702,0.9978427559892872
5,train,0.10252806097269059,2.1554441452026367,0.97875,0.975625,0.96125,0.9958333333333333,0.9822916666666667,0.9595850678682875,0.9554950045413261,0.9257012888551933,0.991675338189386,0.9654686398872445,0.9585047596121121,0.9392857142857143,0.9327731092436975,0.9875647668393782,0.9743954480796586,0.9590180148224836,0.9473210265646106,0.9292237442922374,0.9896157840083074,0.9699115044247788,0.9971312551195703,0.9969533676242237,0.9932203708805728,0.9999032635056171,0.9984480184678677
6,train,0.07948372806732854,2.181459903717041,0.9861458333333334,0.9845833333333334,0.974375,0.996875,0.98875,0.9734782908835955,0.9711711711711711,0.9505703422053232,0.9927536231884058,0.9794180269694819,0.9730227221853887,0.9625,0.9556574923547401,0.9917269906928645,0.9822064056939501,0.973243387166777,0.9668161434977578,0.9531071292413267,0.992240041386446,0.9808102345415778,0.9983779710114136,0.9982038528726708,0.9963358800018215,0.9998497239047718,0.9991224272663902
7,train,0.05857721442977588,2.328562021255493,0.9855208333333333,0.9827083333333333,0.9735416666666666,0.9966666666666667,0.9891666666666666,0.9719694360013337,0.964189794091316,0.9484066767830045,0.9917098445595854,0.9835714285714285,0.9719046309713618,0.9616071428571429,0.9549274255156608,0.9917098445595854,0.9793741109530584,0.9719326861865467,0.9628967367009388,0.951655881233346,0.9917098445595854,0.9814682822523164,0.9987402199607643,0.9985517760093169,0.9970958827008837,0.9999381210692355,0.9993751000636216
8,train,0.06673875343675414,2.11989688873291,0.9886458333333333,0.9875,0.9797916666666666,0.9964583333333333,0.9908333333333333,0.9784502571264604,0.9800904977375565,0.9576719576719577,0.9937565036420395,0.9822820694542878,0.9774614584830861,0.9661016949152542,0.9686544342507645,0.9886128364389234,0.9864768683274021,0.9779326770010903,0.9730458221024259,0.9631318890155834,0.9911779968863519,0.984375,0.999076993636201,0.9991317017602861,0.997813262993439,0.9998598677410679,0.9995031420500108
9,train,0.05251628533937037,2.2382547855377197,0.99125,0.988125,0.9841666666666666,0.9991666666666666,0.9935416666666667,0.9832253708245738,0.9758497316636852,0.9673748103186647,0.9989626556016598,0.9907142857142858,0.9830229611089051,0.9732381801962533,0.9747706422018348,0.9968944099378882,0.9871886120996441,0.9831191546008374,0.974542206342117,0.9710586443259711,0.9979274611398964,0.9889483065953654,0.999335195607603,0.9990756903407457,0.9985591793912516,0.999990819852016,0.9997150928463986
10,train,0.055878161477545894,2.3095548152923584,0.9923958333333334,0.99125,0.98625,0.9977083333333333,0.994375,0.9851440167007542,0.98125,0.9747899159663865,0.9937888198757764,0.9907473309608541,0.985225310767332,0.98125,0.9747899159663865,0.9948186528497409,0.9900426742532006,0.9851845657347698,0.98125,0.9747899159663865,0.9943034697048162,0.9903948772678762,0.9992692702853408,0.9990925854037267,0.9983040532689208,0.9999543338895232,0.999726108579193
1,val,0.3498110681772232,0.38025760650634766,0.9296875,0.91875,0.8625,0.978125,0.959375,0.8699183680017465,0.9779411764705882,0.7094972067039106,0.9140625,0.8781725888324873,0.8683704409087845,0.7307692307692307,0.7791411042944786,0.975,0.9885714285714285,0.8632059899698526,0.8364779874213837,0.7426900584795322,0.9435483870967742,0.9301075268817204,0.9770405676660693,0.9825687413023657,0.9333384779616983,0.9990384615384615,0.9932165898617512
2,val,0.2174259011633694,0.30211758613586426,0.9625,0.953125,0.925,0.996875,0.975,0.9319230304761508,0.9871794871794872,0.8176795580110497,0.9836065573770492,0.9392265193370166,0.9313894694262792,0.8461538461538461,0.9079754601226994,1.0,0.9714285714285714,0.9296248591986822,0.9112426035502958,0.8604651162790697,0.9917355371900827,0.9550561797752809,0.9912282133111394,0.9948054129276837,0.9747012900155625,0.9999038461538461,0.9955023041474654
3,val,0.17712647644802929,0.3045010566711426,0.9664062499999999,0.9515625,0.9328125,0.996875,0.984375,0.9410721636943533,0.9934640522875817,0.8157894736842105,0.9836065573770492,0.9714285714285714,0.9393784129980449,0.8351648351648352,0.950920245398773,1.0,0.9714285714285714,0.9372034410060863,0.9074626865671642,0.8781869688385269,0.9917355371900827,0.9714285714285714,0.9948321687721275,0.9963409952492922,0.9850548545999408,0.9999358974358974,0.9979969278033795
4,val,0.1666111635044217,0.30103111267089844,0.97265625,0.965625,0.946875,0.99375,0.984375,0.9481080343854197,0.9210526315789473,0.9271523178807947,0.9833333333333333,0.9608938547486033,0.9466561608126025,0.9615384615384616,0.8588957055214724,0.9833333333333333,0.9828571428571429,0.9469161765098513,0.9408602150537635,0.89171974522293,0.9833333333333333,0.9717514124293786,0.9959525968358756,0.9973607178847353,0.9885274787462541,0.9996794871794872,0.998242703533026
5,val,0.13910474590957164,0.30843329429626465,0.9789062500000001,0.9765625,0.959375,0.9953125,0.984375,0.959077803641365,0.9664804469273743,0.9254658385093167,0.9834710743801653,0.9608938547486033,0.9597959223802783,0.9505494505494505,0.9141104294478528,0.9916666666666667,0.9828571428571429,0.9593762798829131,0.9584487534626038,0.9197530864197531,0.9875518672199171,0.9717514124293786,0.9967188936353447,0.9981045155717645,0.9900837288266389,0.9995352564102563,0.999152073732719
6,val,0.1465707840397954,0.3129599094390869,0.9843749999999999,0.978125,0.96875,0.996875,0.99375,0.9710057941616892,0.9375,0.9798657718120806,0.9836065573770492,0.9830508474576272,0.969750556192274,0.989010989010989,0.8957055214723927,1.0,0.9942857142857143,0.9697090454109171,0.9625668449197861,0.9358974358974359,0.9917355371900827,0.9886363636363636,0.996758722260923,0.9980565286242142,0.9902509292484983,0.9993910256410256,0.999336405529954
7,val,0.1238509870134294,0.32193851470947266,0.984375,0.9796875,0.9703125,0.9953125,0.9921875,0.9694630101199465,0.9668508287292817,0.9390243902439024,0.9834710743801653,0.9885057471264368,0.9702118867839726,0.9615384615384616,0.9447852760736196,0.9916666666666667,0.9828571428571429,0.9698271429859926,0.9641873278236914,0.9418960244648318,0.9875518672199171,0.9856733524355301,0.996912115612171,0.9983564470464035,0.9904438528121824,0.9994871794871795,0.9993609831029185
8,val,0.14894295670092106,0.30669665336608887,0.9796875,0.971875,0.9609375,0.9953125,0.990625,0.9641969243203536,0.91,0.9859154929577465,0.9834710743801653,0.9774011299435028,0.9597834501898919,1.0,0.8588957055214724,0.9916666666666667,0.9885714285714285,0.9603546951778852,0.9528795811518325,0.9180327868852459,0.9875518672199171,0.9829545454545454,0.9982394858117497,0.9990642545227698,0.9948425100641792,0.9995673076923076,0.9994838709677419
